number for sorting purposes,protein name,family,gene ID,synonym,clone,all gene IDs,subgenome
530044,ZmMYBR44,MYB-related,,MYBR44,,GRMZM2G016020,1
530046,ZmMYBR46,MYB-related,Zm00001eb147880,MYBR46,,GRMZM2G005112 Zm00001d042849 Zm00001eb147880,1
530047,ZmMYBR47,MYB-related,Zm00001eb296170,MYBR47,pUT6469,GRMZM2G117497 Zm00001d039049 Zm00001eb296170,
530048,ZmMYBR48,MYB-related,,MYBR48,,GRMZM2G175265 Zm00001d024547,
530049,ZmMYBR49,MYB-related,Zm00001eb128510,MYBR49,,GRMZM2G416708 Zm00001d040385 Zm00001eb128510,
530050,ZmMYBR50,MYB-related,,MYBR50,,GRMZM2G337011 Zm00001d002281,
530051,ZmMYBR51,MYB-related,Zm00001eb258720,MYBR51,,GRMZM2G379167 Zm00001d018465 Zm00001eb258720 GRMZM5G811428,1
530052,ZmMYBR52,MYB-related,Zm00001eb250940,MYBR52,pUT5400,GRMZM2G029850 Zm00001d017642 Zm00001eb250940,1
530053,ZmMYBR53,MYB-related,Zm00001eb055620,MYBR53,,GRMZM2G047038 Zm00001d033825 Zm00001eb055620,1
530056,ZmMYBR56,MYB-related,Zm00001eb117440,MYBR56,,GRMZM2G398758 Zm00001d007883 Zm00001eb117440,
530057,ZmMYBR57,MYB-related,Zm00001eb296850,MYBR57,pUT6523,GRMZM2G139174 Zm00001eb296850 Zm00001d039119,
530058,ZmMYBR58,MYB-related,Zm00001eb187450,MYBR58,pUT5334,GRMZM2G170322 Zm00001eb187450 Zm00001d051480,2
530059,ZmMYBR59,MYB-related,Zm00001eb010280,MYBR59,,Zm00001d028380 GRMZM2G104255 GRMZM2G085427 Zm00001eb010280 Zm00001eb010270,
530060,ZmMYBR60,MYB-related,Zm00001eb350880,MYBR60,pUT4266,GRMZM5G845296 Zm00001d010472 Zm00001eb350880,
530061,ZmMYBR61,MYB-related,Zm00001eb201260,MYBR61,,GRMZM2G139760 Zm00001eb201260 Zm00001d000110,1
530064,ZmMYBR64,MYB-related,Zm00001eb187250,MYBR64,pUT5349,GRMZM5G835542 Zm00001eb187250 Zm00001eb187260 GRMZM2G118693 Zm00001d051458 Zm00001eb187270,
530065,ZmMYBR65,MYB-related,,MYBR65,,GRMZM2G546369 Zm00001d026456,
530067,ZmMYBR67,MYB-related,Zm00001eb256690,MYBR67,pUT5679,GRMZM2G049194 Zm00001d018258 Zm00001eb256690,1
530069,ZmMYBR69,MYB-related,Zm00001eb379300,MYBR69,,GRMZM2G135052 Zm00001eb379300 Zm00001d045581,1
530070,ZmMYBR70,MYB-related,Zm00001eb276170,MYBR70,,GRMZM2G071582 GRMZM2G071648 Zm00001d036830 Zm00001eb276170,
530071,ZmMYBR71,MYB-related,Zm00001eb431440,MYBR71,pUT3172,GRMZM2G448104 Zm00001eb431440 Zm00001eb431450 Zm00001d026362,
530072,ZmMYBR72,MYB-related,,MYBR72,,GRMZM2G700011 Zm00001d047716,2
530073,ZmMYBR73,MYB-related,Zm00001eb090750,MYBR73,pUT3207,Zm00001d004681 GRMZM2G147152 Zm00001eb090750,
530077,ZmMYBR77,MYB-related,Zm00001eb274210,MYBR77,pUT3451,Zm00001d036632 Zm00001eb274210 GRMZM2G057408,2
530078,ZmMYBR78,MYB-related,Zm00001eb252160,MYBR78,pUT6621,Zm00001d017782 AC204212.4_FG001 Zm00001eb252160,1
530080,ZmMYBR80,MYB-related,Zm00001eb123510,SMH5,,GRMZM2G163291 Zm00001d039750 Zm00001eb123510,1
530082,ZmMYBR82,MYB-related,Zm00001eb316800,MYBR82,,GRMZM2G103783 Zm00001d020947 Zm00001eb316800,1
530084,ZmMYBR84,MYB-related,Zm00001eb416370,MYBR84,pUT5399,Zm00001eb416370 Zm00001d024627 GRMZM2G108892 Zm00001d024628 Zm00001eb416380,
530085,ZmMYBR85,MYB-related,Zm00001eb355010,MYBR85,,GRMZM2G089406 Zm00001d010967 Zm00001eb355010,2
530086,ZmMYBR86,MYB-related,Zm00001eb389960,MYBR86,pUT5441,Zm00001d046974 GRMZM2G170148 Zm00001eb389960,1
530087,ZmMYBR87,MYB-related,Zm00001eb344000,MYBR87,pUT5995,Zm00001eb344000 Zm00001d009599 GRMZM2G158117,
530088,ZmMYBR88,MYB-related,Zm00001eb206120,MYBR88,,GRMZM2G064328 Zm00001d053687 Zm00001eb206120,2
530089,ZmMYBR89,MYB-related,,MYBR89,,GRMZM2G121753 Zm00001d043968,
530090,ZmMYBR90,MYB-related,Zm00001eb222520,MYBR90,pUT5440,Zm00001eb222520 Zm00001d014117 GRMZM2G046438,
530093,ZmMYBR93,MYB-related,Zm00001eb079510,MYBR93,pUT4107,GRMZM2G135396 Zm00001eb079510 GRMZM2G135410 Zm00001eb079500 Zm00001d003284,1
530094,ZmMYBR94,MYB-related,Zm00001eb244750,MYBR94,pUT4173,GRMZM2G328814 Zm00001eb244750 Zm00001d016914,
530096,ZmMYBR96,MYB-related,Zm00001eb228670,MYBR96,pUT6597,Zm00001d014863 GRMZM2G145041 Zm00001eb228670,1
530097,ZmMYBR97,MYB-related,Zm00001eb159610,MYBR97,pUT5788,Zm00001d044194 GRMZM2G057955 Zm00001eb159610,1
530098,ZmMYBR98,MYB-related,Zm00001eb271970,TACS1,pUT6734,GRMZM2G111906 Zm00001d036356 Zm00001eb271970,
530099,ZmMYBR99,MYB-related,Zm00001eb219980,MYBR99,,GRMZM2G024054 Zm00001eb219980 Zm00001eb219990 Zm00001d013827 Zm00001eb220000,
530100,ZmMYBR100,MYB-related,,MYBR100,,GRMZM5G833032 Zm00001d017609,
530103,ZmMYBR103,MYB-related,Zm00001eb035050,MYBR103,,Zm00001d031454 GRMZM2G022499 Zm00001eb035050,1
530104,ZmMYBR104,MYB-related,Zm00001eb064900,MYBR104,pUT6590,Zm00001eb064900 GRMZM2G023557 Zm00001d034891,1
530105,ZmMYBR105,MYB-related,Zm00001eb081280,MYBR105,,GRMZM2G470882 GRMZM2G471039 GRMZM2G171254 Zm00001d003494 Zm00001d003495 Zm00001d003496 Zm00001eb081280 Zm00001eb081310 Zm00001eb081290,
530108,ZmMYBR108,MYB-related,Zm00001eb359890,MYBR108,,GRMZM2G304840 Zm00001eb359890 Zm00001eb359880,
530109,ZmMYBR109,MYB-related,Zm00001eb342480,MYBR109,,GRMZM2G433450 Zm00001d009423 Zm00001eb342480,
530110,ZmMYBR110,MYB-related,Zm00001eb160560,MYBR110,,Zm00001d044311 Zm00001eb160560 Zm00001eb160570 GRMZM2G443202 Zm00001eb160580,
530111,ZmMYBR111,MYB-related,Zm00001eb428070,MYBR111,pUT3482,Zm00001eb428070 GRMZM2G181030 Zm00001d026017,2
530112,ZmMYBR112,MYB-related,Zm00001eb347900,MYBR112,,Zm00001eb347900 GRMZM2G370896 Zm00001d010087 GRMZM2G463633,
530114,ZmMYBR114,MYB-related,Zm00001eb089420,MYBR114,,GRMZM2G119261 Zm00001d004521 Zm00001eb089420,1
530115,ZmMYBR115,MYB-related,Zm00001eb359630,MYBR115,pUT5395,GRMZM2G049378 Zm00001d011515 Zm00001eb359630,
530116,ZmMYBR116,MYB-related,Zm00001eb102850,MYBR116,,GRMZM5G860226 GRMZM5G847287 GRMZM5G808017 Zm00001d006133 Zm00001d006134 Zm00001eb102850,
530117,ZmMYBR117,MYB-related,Zm00001eb111250,,,Zm00001eb111250 Zm00001d007141,
530118,ZmMYBR118,MYB-related,Zm00001eb345290,,,GRMZM2G350628 Zm00001eb345290 GRMZM2G018142 Zm00001d009751 Zm00001d009750 GRMZM2G018048 GRMZM2G316740 GRMZM2G350684,
530119,ZmMYBR119,MYB-related,Zm00001eb261130,,,Zm00001d035113 GRMZM2G019257 Zm00001eb261130 GRMZM2G573732,
530120,ZmMYBR120,MYB-related,Zm00001eb215910,,,GRMZM5G878347 Zm00001eb215910 Zm00001d013391,
530121,ZmMYBR121,MYB-related,Zm00001eb350460,,,Zm00001d010421 Zm00001eb350460 GRMZM2G416308 Zm00001d010420,
530122,ZmMYBR122,MYB-related,Zm00001eb058920,ZmMYB18,,GRMZM2G356718 Zm00001eb058920,
530123,ZmMYBR123,MYB-related,Zm00001eb297530,,,Zm00001d039185 GRMZM2G096759 Zm00001eb297530,1
530124,ZmMYBR124,MYB-related,Zm00001eb177970,,,Zm00001eb177970,
530125,ZmMYBR125,MYB-related,Zm00001eb249730,,,GRMZM2G329532 Zm00001eb249730 Zm00001d017505 GRMZM2G329454 Zm00001eb249740,1
530126,ZmMYBR126,MYB-related,Zm00001eb057150,,,Zm00001eb057150 Zm00001d034005 GRMZM2G126338,1
530127,ZmMYBR127,MYB-related,Zm00001eb013670,ZmMYB46,pUT6786,GRMZM2G308034 Zm00001eb013670 Zm00001d028777,1
530128,ZmMYBR128,MYB-related,Zm00001eb288480,,,Zm00001eb288480,
530129,ZmMYBR129,MYB-related,Zm00001eb424880,,,Zm00001d025685 Zm00001eb424880 AC217043.3_FG002 Zm00001d025686,
530130,ZmMYBR130,MYB-related,Zm00001eb374860,,,Zm00001eb374860 Zm00001d045123,
530131,ZmMYBR131,MYB-related,Zm00001eb416530,,,Zm00001d024644 Zm00001eb416530,
530132,ZmMYBR132,MYB-related,Zm00001eb212880,ZmMYB160,pUT4155,Zm00001eb212880 Zm00001d013070 GRMZM2G302549,2
530133,ZmMYBR133,MYB-related,Zm00001eb332410,,,Zm00001d008206 Zm00001eb332410,
530134,ZmMYBR134,MYB-related,Zm00001eb160300,,,GRMZM2G440951 GRMZM2G440943 Zm00001d044281 Zm00001eb160300,
530135,ZmMYBR135,MYB-related,Zm00001eb160310,,,GRMZM2G117685 GRMZM2G475362 Zm00001d044283 Zm00001d044284 Zm00001eb160310,
530136,ZmMYBR136,MYB-related,Zm00001eb010890,,,Zm00001eb010890 Zm00001d028445 GRMZM2G097788,1
530137,ZmMYBR137,MYB-related,Zm00001eb359940,,,Zm00001d011552 Zm00001eb359940,
530138,ZmMYBR138,MYB-related,Zm00001eb235700,,,GRMZM2G159155 Zm00001d015765 Zm00001eb235700 GRMZM5G877874,1
540001,ZmNAC1,NAC,Zm00001eb359950,NACTF1,pUT4771,GRMZM2G134717 Zm00001d011555 Zm00001eb359950,2
540002,ZmNAC2,NAC,Zm00001eb330910,NACTF2,pUT1175,Zm00001eb330910 GRMZM2G181605 Zm00001d022517,
540003,ZmNAC3,NAC,Zm00001eb288270,NACTF3,pUT1609,Zm00001d038207 GRMZM2G147867 Zm00001eb288270,
540004,ZmNAC4,NAC,Zm00001eb303620,NACTF4,pUT1133,Zm00001eb303620 GRMZM2G079632 Zm00001d019207 Zm00001eb303630,1
540005,ZmNAC5,NAC,Zm00001eb095110,NACTF5,pUT5623,Zm00001eb095110 Zm00001d005208 GRMZM2G162739,2
540006,ZmNAC6,NAC,,NACTF6,,GRMZM2G018553,2
540007,ZmNAC7,NAC,Zm00001eb059350,NACTF7,pUT1145,Zm00001eb059350 Zm00001d034277 GRMZM2G163251,1
540008,ZmNAC8,NAC,Zm00001eb280490,NACTF8,,GRMZM2G086768 Zm00001eb280490 GRMZM2G379608 GRMZM2G078954 Zm00001d037315,2
540009,ZmNAC9,NAC,Zm00001eb363940,NACTF9,pUT3131,Zm00001eb363940 GRMZM2G134073 Zm00001d011969,2
540010,ZmNAC10,NAC,Zm00001eb248680,NACTF10,,Zm00001eb248680 Zm00001d017396 GRMZM2G315140,1
540011,ZmNAC11,NAC,Zm00001eb015570,NACTF11,,Zm00001eb015570 GRMZM2G031001 Zm00001d028995,
540012,ZmNAC12,NAC,Zm00001eb175840,NACTF12,pUT6155,Zm00001d049913 Zm00001eb175840 GRMZM2G125777,2
540013,ZmNAC13,NAC,Zm00001eb246010,NACTF13,pUT3080,Zm00001d017084 Zm00001eb246010 GRMZM2G038073,1
540014,ZmNAC14,NAC,Zm00001eb312500,NACTF14,,Zm00001d020446 Zm00001eb312500 GRMZM2G159094,
540015,ZmNAC15,NAC,Zm00001eb424870,NACTF15,,Zm00001eb424870 Zm00001d025684 GRMZM2G111770,2
540016,ZmNAC16,NAC,Zm00001eb121380,NACTF16,pUT3145,GRMZM2G166721 Zm00001d039506 Zm00001eb121380,1
540017,ZmNAC17,NAC,Zm00001eb185110,NACTF17,pUT3227,GRMZM2G062009 Zm00001eb185110 Zm00001d051140,
540018,ZmNAC18,NAC,Zm00001eb320810,NACTF18,,AC233865.1_FG001 Zm00001eb320810 Zm00001d021422 Zm00001eb320820 Zm00001d021423 GRMZM5G885329,
540019,ZmNAC19,NAC,Zm00001eb238270,NACTF19,,Zm00001d016119 Zm00001eb238270 GRMZM2G155816,1
540020,ZmNAC20,NAC,Zm00001eb288360,NACTF20,pUT6054,GRMZM2G180328 Zm00001eb288360 Zm00001d038221,
540021,ZmNAC21,NAC,Zm00001eb269810,NACTF21,pUT4773,Zm00001eb269810 GRMZM2G091490 Zm00001d036050,2
540022,ZmNAC22,NAC,Zm00001eb070490,NACTF22,pUT4772,GRMZM2G156977 Zm00001d002285 Zm00001eb070490,
540023,ZmNAC23,NAC,Zm00001eb369060,NACTF23,pUT3135,Zm00001eb369060 Zm00001d012527 GRMZM2G068973,2
540024,ZmNAC24,NAC,Zm00001eb102160,NACTF24,pUT4768,Zm00001eb102160 GRMZM2G008374 Zm00001d006053,2
540025,ZmNAC25,NAC,Zm00001eb405590,NACTF25,pUT3133,GRMZM2G127379 Zm00001eb405590 Zm00001d023294,
540026,ZmNAC26,NAC,Zm00001eb191020,NACTF26,pUT3686,GRMZM2G113950 Zm00001eb191020 Zm00001d051879,2
540027,ZmNAC27,NAC,Zm00001eb186010,NACTF27,pUT4781,Zm00001d051294 Zm00001eb186010 GRMZM2G354151,2
540028,ZmNAC28,NAC,Zm00001eb299030,NACTF28,pUT3083,Zm00001d018702 GRMZM2G033014 Zm00001eb299030,
540029,ZmNAC29,NAC,Zm00001eb395380,NACTF29,,Zm00001eb395380 GRMZM2G159500 Zm00001d047554,
540030,ZmNAC30,NAC,Zm00001eb245030,NACTF30,pUT3081,GRMZM2G146380 Zm00001eb245030 Zm00001d016950,1
540031,ZmNAC31,NAC,Zm00001eb288900,NACTF31,,Zm00001eb288900 GRMZM2G465835 Zm00001d038289,1
540032,ZmNAC32,NAC,Zm00001eb080700,NACTF32,pUT3130,GRMZM2G009892 Zm00001d003414 Zm00001eb080700,1
540033,ZmNAC33,NAC,Zm00001eb001990,NACTF33,pUT3085,Zm00001eb001990 GRMZM2G025642 Zm00001d027459,1
540034,ZmNAC34,NAC,Zm00001eb077830,NACTF34,pUT4005,Zm00001d003080 AC208663.3_FG002 Zm00001eb077830,
540035,ZmNAC35,NAC,Zm00001eb102540,NACTF35,pUT5706,Zm00001eb102540 GRMZM2G179049 Zm00001d006106,2
540036,ZmNAC36,NAC,Zm00001eb077580,NACTF36,,GRMZM2G081930 Zm00001eb077580 Zm00001d003052,
540037,ZmNAC37,NAC,Zm00001eb179740,NACTF37,pUT4091,Zm00001d050410 Zm00001eb179740 AC198937.4_FG005,
540038,ZmNAC38,NAC,Zm00001eb349010,NACTF38,pUT6091,Zm00001d010227 Zm00001eb349010 GRMZM2G104400,2
540039,ZmNAC39,NAC,Zm00001eb402580,NACTF39,pUT6282,GRMZM2G126817 Zm00001eb402580 Zm00001d048347,2
540040,ZmNAC40,NAC,Zm00001eb183190,NACTF40,pUT6157,GRMZM5G898290 Zm00001d050893 Zm00001eb183190,
540041,ZmNAC41,NAC,Zm00001eb197170,NACTF41,pUT5306,Zm00001eb197170 Zm00001d052564 GRMZM2G439903,1
540042,ZmNAC42,NAC,Zm00001eb272040,NACTF42,pUT3078,Zm00001d036364 GRMZM2G074358 Zm00001eb272040,2
540043,ZmNAC43,NAC,Zm00001eb024300,NACTF43,pUT4766,GRMZM2G082709 Zm00001eb024300 Zm00001d030023,1
540044,ZmNAC44,NAC,Zm00001eb015630,NACTF44,pUT6168,Zm00001eb015630 GRMZM2G011598 Zm00001d028999,
540045,ZmNAC45,NAC,Zm00001eb399810,NACTF45,,Zm00001d048044 Zm00001eb399810 GRMZM2G126936,
540046,ZmNAC46,NAC,,NACTF46,,GRMZM2G440219,
540047,ZmNAC47,NAC,Zm00001eb337530,NACTF47,,Zm00001d008817 Zm00001eb337530 GRMZM2G112681,2
540048,ZmNAC48,NAC,Zm00001eb036920,NACTF48,pUT6759,Zm00001eb036920 GRMZM2G054252 Zm00001d031655,1
540049,ZmNAC49,NAC,Zm00001eb062170,NACTF49,pUT6090,Zm00001eb062170 Zm00001d034601 GRMZM2G347043,1
540050,ZmNAC50,NAC,Zm00001eb032650,NACTF50,,GRMZM2G475014 Zm00001d031164 Zm00001eb032650,1
540051,ZmNAC51,NAC,Zm00001eb191780,NACTF51,pUT4776,Zm00001eb191780 Zm00001d051956 GRMZM2G140901,2
540052,ZmNAC52,NAC,Zm00001eb337360,NACTF52,,Zm00001eb337360 GRMZM2G342647,
540053,ZmNAC53,NAC,Zm00001eb002660,NACTF53,,GRMZM2G059428 Zm00001d027530 Zm00001eb002660,1
540054,ZmNAC54,NAC,Zm00001eb260790,NACTF54,pUT5312,Zm00001eb260790 Zm00001d035076 GRMZM2G030325,
540055,ZmNAC55,NAC,Zm00001eb041350,NACTF55,pUT4119,Zm00001eb041350 GRMZM2G152543 Zm00001d032182,
540056,ZmNAC56,NAC,Zm00001eb317170,NACTF56,,GRMZM2G386163 Zm00001d020982 Zm00001eb317170,1
540057,ZmNAC57,NAC,Zm00001eb403880,NACTF57,pUT6069,GRMZM2G174070 Zm00001eb403880 Zm00001d048493,2
540058,ZmNAC58,NAC,Zm00001eb182960,NACTF58,,Zm00001eb182960 Zm00001d050870 AC205484.3_FG005,
540059,ZmNAC59,NAC,Zm00001eb254560,NACTF59,pUT4966,Zm00001eb254560 Zm00001d018038 Zm00001eb254550 GRMZM2G401609 GRMZM2G100593,1
540060,ZmNAC60,NAC,Zm00001eb212120,NACTF60,,GRMZM2G336533 Zm00001eb212120 Zm00001d013003,2
540061,ZmNAC61,NAC,Zm00001eb415730,NACTF61,pUT6175,Zm00001eb415730 GRMZM2G003715 Zm00001d024543,1
540062,ZmNAC62,NAC,Zm00001eb260000,NACTF62,pUT4058,Zm00001d034984 GRMZM2G052239 Zm00001eb260000,1
540063,ZmNAC63,NAC,Zm00001eb317890,NACTF63,pUT6790,GRMZM2G054277 Zm00001d021069 Zm00001eb317890,1
540064,ZmNAC64,NAC,Zm00001eb008350,NACTF64,,Zm00001eb008350 Zm00001d028178 GRMZM2G077045,
540065,ZmNAC65,NAC,Zm00001eb426640,NACTF65,,Zm00001d025861 Zm00001eb426640 GRMZM2G043813,
540066,ZmNAC66,NAC,Zm00001eb128000,NACTF66,pUT3687,GRMZM2G064541 Zm00001d040318 Zm00001eb128000,1
540067,ZmNAC67,NAC,Zm00001eb408860,NACTF67,pUT6746,Zm00001eb408860 GRMZM2G083347 Zm00001d023669,1
540068,ZmNAC68,NAC,Zm00001eb379550,NACTF68,pUT3683,Zm00001d045616 Zm00001eb379550 GRMZM2G163914 GRMZM2G459156 Zm00001d045617,1
540069,ZmNAC69,NAC,Zm00001eb280490,NACTF69,,GRMZM2G086768 GRMZM2G379608 GRMZM2G078954 Zm00001d037315 Zm00001eb280490,2
540070,ZmNAC70,NAC,Zm00001eb149810,NACTF70,pUT6307,Zm00001eb149810 GRMZM2G312201 Zm00001d043094 Zm00001eb149820,1
540071,ZmNAC71,NAC,Zm00001eb082040,NACTF71,pUT4780,Zm00001eb082040 Zm00001d003583 GRMZM2G099144,
540072,ZmNAC72,NAC,Zm00001eb360270,NACTF72,,GRMZM2G163841 Zm00001d011590 Zm00001eb360270,2
540073,ZmNAC73,NAC,Zm00001eb299720,NACTF73,,Zm00001d018773 GRMZM2G479980 Zm00001eb299720,1
540074,ZmNAC74,NAC,Zm00001eb213710,NACTF74,pUT4779,Zm00001d013151 Zm00001eb213710 GRMZM2G112548,2
540075,ZmNAC75,NAC,Zm00001eb175500,NACTF75,pUT6752,Zm00001d049860 Zm00001eb175500 GRMZM2G100583,2
540076,ZmNAC76,NAC,Zm00001eb082430,NACTF76,pUT4769,Zm00001d003626 GRMZM2G316840 Zm00001eb082430,
540077,ZmNAC77,NAC,Zm00001eb172410,NACTF77,,AC196475.3_FG005 Zm00001eb172410 Zm00001d049540,2
540078,ZmNAC78,NAC,Zm00001eb001460,NACTF78,pUT6092,Zm00001d027395 Zm00001eb001460 GRMZM2G406204,1
540079,ZmNAC79,NAC,Zm00001eb317070,NACTF79,pUT6188,Zm00001eb317070 Zm00001d020972 GRMZM2G033884 Zm00001eb317060 GRMZM2G004531,1
540080,ZmNAC80,NAC,Zm00001eb142410,NACTF80,,Zm00001d042246 GRMZM2G060116 Zm00001eb142410,
540081,ZmNAC81,NAC,Zm00001eb395320,NACTF81,,Zm00001eb395320 GRMZM2G042494,
540082,ZmNAC82,NAC,Zm00001eb157260,NACTF82,pUT3134,Zm00001d043921 Zm00001eb157260 GRMZM2G058518,1
540083,ZmNAC83,NAC,Zm00001eb341230,NACTF83,,GRMZM2G158204 Zm00001eb341230 Zm00001d009244,
540084,ZmNAC84,NAC,,NACTF84,,GRMZM2G139700 Zm00001d041791,2
540085,ZmNAC85,NAC,Zm00001eb423160,NACTF85,,GRMZM2G435824 Zm00001eb423160 Zm00001d025483,
540086,ZmNAC86,NAC,Zm00001eb378150,NACTF86,pUT3082,Zm00001d045463 GRMZM2G171395 Zm00001eb378150,1
540087,ZmNAC87,NAC,Zm00001eb295810,NACTF87,pUT3132,Zm00001eb295810 Zm00001d039004 GRMZM2G031200,1
540088,ZmNAC88,NAC,Zm00001eb349120,NACTF88,pUT4782,Zm00001eb349120 Zm00001d010239 GRMZM2G134687,
540089,ZmNAC89,NAC,,NACTF89,,GRMZM2G340305,1
540090,ZmNAC90,NAC,Zm00001eb142800,NACTF90,pUT4085,Zm00001eb142800 Zm00001d042288 Zm00001eb142790 AC203535.4_FG002,
540091,ZmNAC91,NAC,Zm00001eb379460,NACTF91,pUT4775,GRMZM2G041668 Zm00001eb379460 Zm00001d045600,
540092,ZmNAC92,NAC,Zm00001eb176840,NACTF92,pUT4778,Zm00001d050039 GRMZM2G048826 Zm00001eb176840,
540093,ZmNAC93,NAC,Zm00001eb147030,NACTF93,pUT4774,Zm00001eb147030 GRMZM5G832473 Zm00001d042758,
540094,ZmNAC94,NAC,Zm00001eb156890,NACTF94,,GRMZM2G122615 Zm00001d043877 Zm00001eb156890,1
540095,ZmNAC95,NAC,Zm00001eb145340,NACTF95,,GRMZM5G813651 Zm00001d042580 Zm00001eb145340,
540096,ZmNAC96,NAC,Zm00001eb117730,NACTF96,pUT4254,Zm00001d007850 GRMZM5G803888 Zm00001eb117730,
540098,ZmNAC98,NAC,Zm00001eb384320,NACTF98,,Zm00001d046246 GRMZM2G115721 Zm00001eb384320,1
540099,ZmNAC99,NAC,Zm00001eb280480,NACTF99,,GRMZM2G027309 Zm00001eb280480,2
540100,ZmNAC100,NAC,Zm00001eb139220,NACTF100,pUT6617,Zm00001eb139220 AC211478.3_FG004 Zm00001d041886,
540101,ZmNAC101,NAC,Zm00001eb183700,NACTF101,,Zm00001d050960 GRMZM2G104078 Zm00001eb183700,2
540102,ZmNAC102,NAC,Zm00001eb399930,NACTF102,pUT5892,GRMZM5G894234 Zm00001eb399930 AC233893.1_FG002 Zm00001d048059,
540103,ZmNAC103,NAC,Zm00001eb076470,NACTF103,pUT5568,Zm00001d002934 Zm00001eb076470 AC212859.3_FG008,
540104,ZmNAC104,NAC,Zm00001eb258400,NACTF104,,Zm00001d018435 GRMZM5G857701 Zm00001eb258400,
540105,ZmNAC105,NAC,Zm00001eb173960,NACTF105,,Zm00001eb173960 GRMZM2G123246 Zm00001d049687,
540106,ZmNAC106,NAC,,NACTF106,,GRMZM2G031120,1
540107,ZmNAC107,NAC,Zm00001eb348340,NACTF107,,Zm00001eb348340 Zm00001d010144 GRMZM2G172264,2
540109,ZmNAC109,NAC,Zm00001eb145580,NACTF109,pUT1169,Zm00001eb145580 GRMZM2G014653 Zm00001d042609,
540110,ZmNAC110,NAC,Zm00001eb413540,NACTF110,pUT1176,Zm00001d024268 Zm00001eb413540 GRMZM2G167018,
540111,ZmNAC111,NAC,Zm00001eb079630,NACTF111,pUT4947,Zm00001d003293 Zm00001eb079630 GRMZM2G450445,1
540112,ZmNAC112,NAC,Zm00001eb288420,NACTF112,,Zm00001eb288420 Zm00001d038227 GRMZM2G456568,1
540113,ZmNAC113,NAC,Zm00001eb224800,NACTF113,,Zm00001eb224800 GRMZM2G063522 Zm00001d014405,1
540114,ZmNAC114,NAC,Zm00001eb035180,NACTF114,pUT6408,Zm00001d031463 Zm00001eb035180 GRMZM2G430522,1
540115,ZmNAC115,NAC,Zm00001eb173840,NACTF115,pUT5624,GRMZM2G069047 Zm00001eb173840 Zm00001d049678,
540116,ZmNAC116,NAC,Zm00001eb277900,NACTF116,pUT3079,GRMZM2G041746 Zm00001d037029 Zm00001eb277900,2
540118,ZmNAC118,NAC,Zm00001eb334160,NACTF118,pUT4965,Zm00001d008399 Zm00001eb334160 GRMZM2G109627,
540119,ZmNAC119,NAC,Zm00001eb264380,NACTF119,pUT5891,GRMZM2G393433 Zm00001d035266 Zm00001eb264380,
540120,ZmNAC120,NAC,Zm00001eb076640,RAS18A1,pUT6050,Zm00001eb076640 GRMZM2G176677 Zm00001eb076630 Zm00001d002945,
540121,ZmNAC121,NAC,Zm00001eb320830,NACTF121,pUT6205,Zm00001eb320830 Zm00001d021424 AC233865.1_FG003,
540122,ZmNAC122,NAC,Zm00001eb330850,NACTF122,,GRMZM2G430849 Zm00001d022424 Zm00001eb330850,
540123,ZmNAC123,NAC,Zm00001eb260850,NACTF123,,Zm00001eb260850 GRMZM2G092465 Zm00001d035084,
540124,ZmNAC124,NAC,Zm00001eb383230,NACTF124,pUT4767,Zm00001d046126 GRMZM2G104074 Zm00001eb383230,1
540125,ZmNAC125,NAC,Zm00001eb201290,NACTF125,pUT6835,GRMZM2G123667 Zm00001eb201290 Zm00001d000112,
540126,ZmNAC126,NAC,Zm00001eb093650,NACTF126,pUT4765,GRMZM2G018436 Zm00001d005028 Zm00001eb093650,
540127,ZmNAC127,NAC,Zm00001eb228520,NACTF127,pUT4770,Zm00001d014843 GRMZM2G389557 Zm00001eb228520,1
540128,ZmNAC128,NAC,Zm00001eb126890,NRP1,pUT5703,Zm00001d040189 Zm00001eb126890 GRMZM2G062650,
540129,ZmNAC129,NAC,Zm00001eb280490,NACTF129,,GRMZM2G086768 GRMZM2G379608 GRMZM2G078954 Zm00001d037315 Zm00001eb280490,2
540130,ZmNAC130,NAC,Zm00001eb334180,NACTF130,pUT3077,Zm00001eb334180 Zm00001d008403 GRMZM2G154182,
540131,ZmNAC131,NAC,Zm00001eb075510,NACTF131,pUT6074,Zm00001eb075510 GRMZM2G178998 Zm00001d002828,1
540132,ZmNAC132,NAC,Zm00001eb324550,NACTF132,pUT6305,Zm00001eb324550 Zm00001d021818 GRMZM2G179885,1
540133,ZmNAC133,NAC,Zm00001eb243730,NACTF133,pUT1144,Zm00001eb243730 GRMZM2G094067 Zm00001d016814,
540134,ZmNAC134,NAC,Zm00001eb360260,NACTF134,pUT3086,Zm00001d011589 Zm00001eb360260 GRMZM2G163843,2
540135,ZmNAC135,NAC,Zm00001eb063000,,,GRMZM2G474252 Zm00001eb063000 GRMZM2G060735,1
540136,ZmNAC136,NAC,Zm00001eb051290,,,Zm00001eb051290 Zm00001d033308,
540137,ZmNAC137,NAC,Zm00001eb063010,,,Zm00001eb063010 GRMZM2G317853,1
540138,ZmNAC138,NAC,Zm00001eb407330,,,Zm00001eb407330 Zm00001d023487,
